Pulpy Вишня,0,0,8,32,450,,,,
Choco-Pie,"4,333333333",18,63,430,30,,,,
Салат Оливье,"5,1","16,5","3,9",187,,,,,
Круассан итальянский со сливочным кремом,"6,5",19,52,410,45,,,,
Мороженое пломбир Советский,"3,9","17,9","21,8",263,100,,,,
Мороженое Золотой стандарт Трубочка,"2,7","23,8",26,335,74,,,,
Мороженое Американец,5,"13,7","26,9",251,110,,,,
"Пирожное ""Ежик""",7,24,44,420,70,,,,
Чипсы Lays Рифленые колбаски гриль,6,31,53,520,125,,,,
Лимонад классический,"0,33",0,"15,04",62,1000,,,,
Пирог с творогом,"8,2","20,2","35,2","355,2",600,,,,
Сок персиковый,0,0,"10,5",42,,,,,
Сок яблочный,0,0,11,44,1000,,,,
Газировка Добрый апельсин,0,0,8,32,500,,,,
Pepsi (300 мл),0,0,"10,7",40,300,,,,
Coca Cola,0,0,"10,6",42,500,,,,
Чипсы Bon Giorno Лук с сыром,6,33,49,520,80,,,,
Чипсы Lays,6,32,53,520,,,,,
Чипсы Lays с сыром Большая пачка,6,32,53,520,140,,,,
Чипсы Lays 140 г,6,32,53,520,140,,,,
Чипсы Lays с лососем,6,32,53,520,140,,,,
Чипсы Naturals с белыми грибами,"5,8",33,49,522,100,,,,
Чипсы Naturals,"5,2",34,48,527,100,,,,
Чипсы Binggrae Бекон,"7,5",23,65,500,40,,,,
Чипсы Binggrae Креветка,9,23,65,503,50,,,,
Пирог с капустой и яйцом,"5,29","7,82","22,34",180,,,,,
ОхПироги Тарт с рикоттой и томатами,"8,9","12,9",19,"227,9",900,,,,
ОхПироги Рататуй,"6,9","5,3","34,7",214,1100,,,,
ОхПироги Уалибах - пирог с сыром и зеленью,"10,4",10,"21,3","217,1",900,,,,
ОхПироги Напиток из шиповника,"0,5",0,"13,7","56,7",1000,,,,
ОхПироги Смородиновый морс,"0,1",0,"6,2","25,6",1000,,,,
ОхПироги Лоранский пирог,"12,7",11,"19,7","228,7",1000,,,,
ОхПироги Картофджин,"8,1","5,2","24,7","178,2",900,,,,
ОхПироги Болгарский пирог,"6,8","11,7","16,7",199,1000,,,,
Пирог Картофджин,"8,1","5,2","24,7","178,2",900,,,,
Перцы Салат Греческий,"3,596","11,316","3,012","128,4",250,,,,
Перцы Котлеты из индейки с картофельным пюре,"8,644","10,148","12,456",176,250,,,,
Салат Чафан с маслом,"14,59","5,61","26,14",183,130,,,,
Карамель Eco-Botanica,0,"0,1",94,380,6,,,,
Гамбургер с куриным филе,"15,63404255","18,07234043","20,42553191","312,3404255",235,,,,
Попкорн с солью,"7,3","13,5","62,7",407,40,,,,
Конфеты Ласточка,2,9,77,400,"13,88888889",,,,
Безымянная конфета,2,9,77,400,"13,88888889",,,,
Лента Сливочная конфета Му,2,9,77,400,40,,,,
Конфеты Коровка,"2,7","4,3",82,364,15,,,,
Шоколад Luxury Milk 32%,"5,1",32,60,553,175,,,,
Молочный шоколад с манго,8,35,50,550,6,,,,
Конфета Степ,10,"24,7","51,4",498,15,,,,
Конфеты шоколадные,"4,2",27,58,505,"7,125",,,,
Карамель Лимонная,0,"0,1",94,380,7,,,,
Конфета Bounty,"3,3","25,1",60,484,55,,,,
Мороженое Пломбир на йогурте с черничной начинкой,"3,7","13,6","36,9","280,8",130,,,,
Морс лесные ягоды,"0,11","0,02","5,88",24,1000,,,,
Равиоли Карне с мясом,"12,62","7,45","31,01",242,500,,,,
Пельмени МяснойСтандарт Фирменные,"10,5","13,8","25,4",268,1000,,,,
Пельмени с курицей,"17,8","17,4","28,19",343,,,,,
Пельмени из говядины и свинины,"16,55","15,23",33,334,500,,,,
Пельмени из мраморной говядины,"16,6","10,91","39,75",325,500,,,,
Печенье утреннее,"8,2",15,68,450,45,,,,
Три Коржа Торт Шах и мат,"5,61","14,69","45,9",338,1040,,,,
Три Коржа Торт Прага,"5,27","35,67","39,72",311,1100,,,,
Три Коржа Торт молочная девочка,"4,8","19,8","41,98",365,880,,,,
Сладкое желание Торт Бананям,2,"14,2","28,6","246,2",900,,,,
Сладкое желание Торт Пломбир-черника,"2,9","12,8","34,7","165,5",1100,,,,
Сладкое желание Торт Медовый,"4,2",37,"34,6",456,900,,,,
Сладкое желание Торт Черемуховый,"3,3","19,4","23,2",265,1100,,,,
Цезарь Ролл,"14,28571429","13,92857143","20,71428571","265,7142857",280,,,,
Батончик Сникерс,"8,1",25,59,494,40,,,,
Батончик MilkyWay,0,"16,53846154","64,61538462",450,26,,,,
"Начос ""Нежнейший сыр""","6,5","22,5",57,470,30,,,,
Пепси,0,0,7,28,500,,,,
Мороженое пломбир Советский шоколадный,"3,8","18,1",22,266,100,,,,
Шаурма по-арабски,9,10,16,190,500,,,,
Шаурма,"9,75","12,46","22,23",242,300,,,,
Круассан 7 days со сгущенкой,7,28,44,460,65,,,,
Ньокки с цыплёнком в сливочно-грибном соусе ,"5,71","17,71","16,70333333",249,300,,,,
Чебурек,"10,97","14,44","25,2","271,03",200,,,,
Бублик с творогом,"14,4","3,5","19,2","166,3",100,,,,
Хот дог,"6,3",10,"16,4","181,7",200,,,,
Сникерс Minis,"8,2","26,6","55,6","497,5",15,,,,
Меренговый рулет с ягодой,"2,05","4,68125","28,35","164,375",160,,,,
Торт Киевский,"6,73","36,9","36,02",508,1140,,,,
Торт Наполеон,"7,625","44,2375","33,75","539,375",160,,,,
Кириешки Багет,11,13,67,430,50,,,,
БургерКинг Соус Цезарь,"1,2",48,10,480,25,,,,
БургерКинг Соус барбекю,"0,8",0,"19,8",86,25,,,,
БургерКинг Сырный соус,"1,8",44,12,440,25,,,,
БургерКинг Кинг Фри большой,"3,3","6,1","32,1","198,1",160,,,,
БургерКинг Кинг Фри стандарт,"3,3","6,1","32,1","198,1",106,,,,
БургерКинг Шримп ролл,"8,1","10,1","30,9","248,3",149,,,,
БургерКинг Цезарь ролл,13,"7,5",16,180,205,,,,
БургерКинг Ангус по-французски,"12,4","14,3","21,4","263,7",364,,,,
БургерКинг Воппер по-французски,"11,4","13,4","22,2","253,6",343,,,,
БургерКинг Сибирский Кинг с курицей,"7,8","11,2","22,5","220,9",258,,,,
Папа Джонс Пицца Мясное барбекю 35 см с сырным бортом и чесночной корочкой,12,14,30,294,1090,,,,
Папа Джонс Двойная пепперони 30 см с сырным бортом,13,13,26,270,760,,,,
Папа Джонс Пепперони 30 см с сырным бортом,14,13,28,290,670,,,,
Папа Джонс Пицца Сливочная с креветками 35 см,10,9,35,260,760,,,,
Перцы Салат с кальмарами и филе птицы,"17,45","16,01111111","3,85","230,5555556",180,"31,41","28,82","6,93",415
Перцы Салат Чафан,"9,115","27,36","11,835",326,200,"18,23","54,72","23,67",652
Перцы Кальцоне с мясом,"17,52","16,45","33,41",352,100,"17,52","16,45","33,41",352
Перцы Кальцоне с сыром,"14,89","16,92","31,47",336,100,"14,89","16,92","31,47",336
Перцы Кальцоне со шпинатом и цыплёнком,"17,16","13,95","32,14",324,100,"17,16","13,95","32,14",324
Перцы Цезарь с цыпленком,"11,33214286","9,239285714","5,892857143","152,1428571",280,"31,73","25,87","16,5",426
Перцы Ньокки с цыплёнком в сливочно-грибном соусе ,"5,71","17,71","16,70333333",249,300,"17,13","53,13","50,11",747
Перцы Птитим с цыплёнком,"14,84814815","14,15555556","13,7","241,4814815",270,"40,09","38,22","36,99",652
